ENTOLLSTATIONHEX,EntryHour,EntryCount
37010425,17,928
37010425,18,501
37010425,19,352
37010425,20,260
37010425,21,166
37010425,22,125
37010425,23,54
37010432,0,475
37010432,1,350
37010432,2,289
37010432,3,318
37010432,4,287
37010432,5,737
37010432,6,2216
37010432,7,5130
37010432,8,5587
37010432,9,5043
37010432,10,3974
37010432,11,3284
37010432,12,3098
37010432,13,3442
37010432,14,3712
37010432,15,3974
37010432,16,4212
37010432,17,5293
37010432,18,3328
37010432,19,1505
37010432,20,1351
37010432,21,1086
37010432,22,710
37010432,23,600
37010433,0,338
37010433,1,258
37010433,2,274
37010433,3,275
37010433,4,376
37010433,5,655
37010433,6,1154
37010433,7,2548
37010433,8,2749
37010433,9,3020
37010433,10,2928
37010433,11,2946
37010433,12,2885
37010433,13,2887
37010433,14,3189
37010433,15,3457
37010433,16,3626
37010433,17,3469
37010433,18,2364
37010433,19,1499
37010433,20,1175
37010433,21,974
37010433,22,725
37010433,23,538
37010434,4,1
37010434,7,1
37010434,8,2
37010434,10,2
37010434,13,1
37010434,14,1
37010434,16,2
37010434,17,2
37010435,2,1
37010435,4,1
37010435,10,1
37010435,17,1
37010436,0,320
37010436,1,226
37010436,2,157
37010436,3,163
37010436,4,367
37010436,5,1024
37010436,6,3070
37010436,7,8452
37010436,8,8909
37010436,9,8319
37010436,10,7503
37010436,11,6502
37010436,12,6379
37010436,13,6544
37010436,14,7483
37010436,15,7877
37010436,16,7916
37010436,17,7215
37010436,18,5158
37010436,19,3527
37010436,20,2284
37010436,21,1746
37010436,22,1186
37010436,23,558
37010437,0,182
37010437,1,132
37010437,2,123
37010437,3,106
37010437,4,159
37010437,5,402
37010437,6,1222
37010437,7,2642
37010437,8,3389
37010437,9,3220
37010437,10,2936
37010437,11,2381
37010437,12,2463
37010437,13,2919
37010437,14,2858
37010437,15,3045
37010437,16,3232
37010437,17,3401
37010437,18,2092
37010437,19,1327
37010437,20,1135
37010437,21,950
37010437,22,613
37010437,23,373
37010445,0,51
37010445,1,39
37010445,2,51
37010445,3,54
37010445,4,95
37010445,5,108
37010445,6,256
37010445,7,246
37010445,8,318
37010445,9,403
37010445,10,365
37010445,11,290
37010445,12,292
37010445,13,373
37010445,14,384
37010445,15,420
37010445,16,427
37010445,17,338
37010445,18,247
37010445,19,141
37010445,20,127
37010445,21,83
37010445,22,68
37010445,23,71
37010446,0,43
37010446,1,52
37010446,2,34
37010446,3,41
37010446,4,82
37010446,5,237
37010446,6,544
37010446,7,740
37010446,8,924
37010446,9,949
37010446,10,764
37010446,11,674
37010446,12,691
37010446,13,840
37010446,14,890
37010446,15,964
37010446,16,842
37010446,17,817
37010446,18,464
37010446,19,308
37010446,20,229
37010446,21,168
37010446,22,132
37010446,23,70
37010447,0,38
37010447,1,47
37010447,2,31
37010447,3,35
37010447,4,64
37010447,5,150
37010447,6,253
37010447,7,422
37010447,8,549
37010447,9,536
37010447,10,504
37010447,11,372
37010447,12,415
37010447,13,483
37010447,14,547
37010447,15,595
37010447,16,550
37010447,17,470
37010447,18,294
37010447,19,242
37010447,20,188
37010447,21,138
37010447,22,80
37010447,23,48
37010448,0,24
37010448,1,14
37010448,2,15
37010448,3,17
37010448,4,21
37010448,5,70
37010448,6,121
37010448,7,159
37010448,8,235
37010448,9,257
37010448,10,245
37010448,11,232
37010448,12,246
37010448,13,216
37010448,14,332
37010448,15,275
37010448,16,311
37010448,17,280
37010448,18,227
37010448,19,118
37010448,20,108
37010448,21,74
37010448,22,45
37010448,23,30
37010451,0,64
37010451,1,50
37010451,2,33
37010451,3,45
37010451,4,134
37010451,5,261
37010451,6,482
37010451,7,1050
37010451,8,1171
37010451,9,998
37010451,10,824
37010451,11,663
37010451,12,658
37010451,13,881
37010451,14,921
37010451,15,909
37010451,16,912
37010451,17,814
37010451,18,537
37010451,19,379
37010451,20,327
37010451,21,207
37010451,22,138
37010451,23,91
37010452,0,96
37010452,1,97
37010452,2,91
37010452,3,111
37010452,4,137
37010452,5,250
37010452,6,800
37010452,7,1831
37010452,8,1951
37010452,9,1528
37010452,10,1316
37010452,11,1168
37010452,12,985
37010452,13,1185
37010452,14,1261
37010452,15,1402
37010452,16,1486
37010452,17,1394
37010452,18,1056
37010452,19,600
37010452,20,486
37010452,21,394
37010452,22,302
37010452,23,152
37010453,0,46
37010453,1,38
37010453,2,32
37010453,3,34
37010453,4,43
37010453,5,116
37010453,6,440
37010453,7,982
37010453,8,1105
37010453,9,946
37010453,10,921
37010453,11,749
37010453,12,616
37010453,13,852
37010453,14,987
37010453,15,896
37010453,16,935
37010453,17,1058
37010453,18,652
37010453,19,342
37010453,20,350
37010453,21,251
37010453,22,163
37010453,23,79
37010454,0,6
37010454,1,9
37010454,2,10
37010454,3,2
37010454,4,9
37010454,5,9
37010454,6,23
37010454,7,56
37010454,8,75
37010454,9,75
37010454,10,76
37010454,11,80
37010454,12,73
37010454,13,89
37010454,14,110
37010454,15,95
37010454,16,133
37010454,17,186
37010454,18,84
37010454,19,54
37010454,20,47
37010454,21,27
37010454,22,20
37010454,23,9
37010456,0,6
37010456,1,3
37010456,2,1
37010456,3,2
37010456,4,7
37010456,5,33
37010456,6,36
37010456,7,102
37010456,8,119
37010456,9,104
37010456,10,107
37010456,11,70
37010456,12,79
37010456,13,75
37010456,14,119
37010456,15,101
37010456,16,91
37010456,17,85
37010456,18,51
37010456,19,38
37010456,20,38
37010456,21,38
37010456,22,20
37010456,23,8
37010457,0,8
37010457,1,3
37010457,2,9
37010457,3,6
37010457,4,13
37010457,5,23
37010457,6,47
37010457,7,67
37010457,8,99
37010457,9,127
37010457,10,105
37010457,11,114
37010457,12,114
37010457,13,105
37010457,14,152
37010457,15,169
37010457,16,155
37010457,17,187
37010457,18,111
37010457,19,41
37010457,20,35
37010457,21,20
37010457,22,17
37010457,23,21
37010458,0,6
37010458,1,3
37010458,2,2
37010458,3,4
37010458,4,6
