EXTOLLSTATIONHEX,ExitHour,ExitCount
37010484,4,12
37010484,5,25
37010484,6,63
37010484,7,111
37010484,8,158
37010484,9,181
37010484,10,160
37010484,11,163
37010484,12,156
37010484,13,175
37010484,14,207
37010484,15,192
37010484,16,267
37010484,17,350
37010484,18,308
37010484,19,166
37010484,20,117
37010484,21,93
37010484,22,51
37010484,23,42
37010485,0,59
37010485,1,40
37010485,2,37
37010485,3,37
37010485,4,49
37010485,5,51
37010485,6,78
37010485,7,193
37010485,8,354
37010485,9,360
37010485,10,442
37010485,11,452
37010485,12,346
37010485,13,414
37010485,14,491
37010485,15,578
37010485,16,635
37010485,17,711
37010485,18,594
37010485,19,371
37010485,20,332
37010485,21,185
37010485,22,113
37010485,23,85
37010813,0,200
37010813,1,154
37010813,2,126
37010813,3,134
37010813,4,111
37010813,5,234
37010813,6,344
37010813,7,722
37010813,8,891
37010813,9,1073
37010813,10,1089
37010813,11,1026
37010813,12,923
37010813,13,959
37010813,14,963
37010813,15,1055
37010813,16,1145
37010813,17,1131
37010813,18,908
37010813,19,645
37010813,20,481
37010813,21,430
37010813,22,391
37010813,23,294
37010814,0,427
37010814,1,281
37010814,2,70
37010814,3,68
37010814,4,79
37010814,5,385
37010814,6,2013
37010814,7,5746
37010814,8,5238
37010814,9,4010
37010814,10,3449
37010814,11,2803
37010814,12,2735
37010814,13,3034
37010814,14,3325
37010814,15,3432
37010814,16,4780
37010814,17,5426
37010814,18,4654
37010814,19,2459
37010814,20,1607
37010814,21,1226
37010814,22,773
37010814,23,600
37010815,0,962
37010815,1,698
37010815,2,184
37010815,3,118
37010815,4,200
37010815,5,693
37010815,6,2201
37010815,7,3385
37010815,8,3389
37010815,9,3418
37010815,10,3309
37010815,11,3105
37010815,12,3246
37010815,13,3452
37010815,14,3614
37010815,15,3830
37010815,16,5604
37010815,17,6454
37010815,18,5824
37010815,19,3542
37010815,20,2700
37010815,21,1933
37010815,22,1231
37010815,23,1299
37010816,0,741
37010816,1,196
37010816,2,94
37010816,3,126
37010816,4,667
37010816,5,2510
37010816,6,3517
37010816,7,5371
37010816,8,8552
37010816,9,4948
37010816,10,5118
37010816,11,5032
37010816,12,4443
37010816,13,3662
37010816,14,4074
37010816,15,3897
37010816,16,4190
37010816,17,4379
37010816,18,3484
37010816,19,3443
37010816,20,2282
37010816,21,1173
37010816,22,1296
37010816,23,1163
37010817,0,96
37010817,1,64
37010817,2,77
37010817,3,61
37010817,4,103
37010817,5,169
37010817,6,288
37010817,7,610
37010817,8,832
37010817,9,842
37010817,10,780
37010817,11,737
37010817,12,644
37010817,13,639
37010817,14,717
37010817,15,683
37010817,16,694
37010817,17,783
37010817,18,581
37010817,19,400
37010817,20,299
37010817,21,260
37010817,22,180
37010817,23,150
37010818,0,118
37010818,1,75
37010818,2,43
37010818,3,38
37010818,4,92
37010818,5,141
