HEX,Downstream_HEX,Probability
3C092A,3C8201,0.06621961441743504
3C092C,3C0926,0.7908902691511387
3C092C,3D0925,0.20910973084886128
3C092E,3C0928,0.7308347529812607
3C092E,3D0927,0.26916524701873934
3C0A01,3D0A08,0.5295734101020675
3C0A01,3C0A0C,0.47042658989793246
3C0A03,3D0A07,0.8338461538461538
3C0A03,3C0A12,0.16615384615384615
3C0A05,3D1606,0.5179757085020243
3C0A05,3C0A11,0.4820242914979757
3C0A0B,3C0A0C,0.9408975539006499
3C0A0B,3D0A02,0.05910244609935012
3C0A0C,3C0A12,0.8968145700021095
3C0A0C,3D0A04,0.10318542999789045
3C0A11,3C0A0B,0.5923699421965318
3C0A11,3D9011,0.4043687252814116
3C0A11,3C6E01,0.0032613325220565864
3C0A12,3C081C,0.8862636769085943
3C0A12,3C870B,0.08907544869519592
3C0A12,3D8612,0.024660874396209818
3C0B18,3C0B19,0.6039294055329497
3C0B18,3D0615,0.34447306960730023
3C0B18,3C0B1F,0.051597524859750075
3C0B19,3C0B2C,0.8291088793240874
3C0B19,3D0B20,0.17089112067591264
3C0B1C,3C0B1D,0.6346256467367346
3C0B1C,3C4A01,0.36537435326326534
3C0B1D,3C0B1E,0.7918927777980115
3C0B1D,3D0B26,0.20810722220198857
3C0B1E,3E0B0B,0.9263815028901734
3C0B1E,3C5F01,0.06344508670520231
3C0B1E,3D6009,0.010173410404624278
3C0B1F,3C060B,0.8952134540750324
3C0B1F,3D0604,0.10478654592496765
3C0B21,3D0B17,0.8472583498075122
3C0B21,3C0B2C,0.15274165019248778
3C0B23,3C0B29,1.0
3C0B25,3C0B1C,1.0
3C0B27,3D0B13,0.7445120338534779
3C0B27,3C0B1E,0.2554879661465221
3C0B29,3C920E,1.0
3C0B2C,3CA023,0.9032258064516129
3C0B2C,3DA022,0.0967741935483871
3C0C01,3C0C02,0.8299949984519018
3C0C01,3D0C15,0.17000500154809822
3C0C02,3C0C03,0.9440369765575268
3C0C02,3D0C13,0.055963023442473225
3C0C03,3C0C04,0.9518595379826333
3C0C03,3D0C18,0.04814046201736661
3C0C04,3C0C19,0.9971994948108286
3C0C04,3D8138,0.00280050518917138
3C0C12,3D0C0C,0.5633404104741684
3C0C12,3C0C04,0.43665958952583156
3C0C14,3C0C03,0.558282208588957
3C0C14,3D0C0D,0.44171779141104295
3C0C16,3D0C0E,0.8268463073852296
3C0C16,3C0C02,0.17315369261477045
3C0C17,3D0C1C,0.546229863273318
3C0C17,3E0C06,0.453770136726682
3C0C19,3C0C1B,0.9209566096628127
3C0C19,3D9E10,0.06455796368751923
3C0C19,3C9E11,0.014485426649668088
3C0C1B,3E0C06,0.9155290297500629
3C0C1B,3D0C11,0.08447097024993712
3C0D0A,3C0D27,0.9827978241477621
3C0D0A,3D0D1C,0.017202175852237944
3C0D0C,3C0D0D,0.9563111694077288
3C0D0C,3D0D1E,0.043688830592271216
3C0D0D,3C0D0E,1.0
3C0D0E,3C0E1B,0.9248901384297009
3C0D0E,3D0D20,0.07510986157029904
3C0D1B,3C0D0A,0.7578983127618616
3C0D1B,3D0D22,0.24210168723813838
3C0D1D,3C0D27,0.832968188589957
3C0D1D,3D0D14,0.16703181141004295
3C0D1F,3C0D0D,0.7238211202125304
3C0D1F,3D0D12,0.2761788797874696
3C0D21,3C0E1B,0.6756515848397333
3C0D21,3D0D17,0.3243484151602667
3C0D23,3C0D0A,0.960445355991796
3C0D23,3D0D1A,0.039554644008203924
3C0D27,3D970C,0.749678800856531
3C0D27,3C970D,0.25032119914346895
3C0E03,3C0E04,0.8803339517625232
3C0E03,3D0E35,0.11966604823747681
3C0E04,3C0E05,0.7429139072847682
