HEX,Downstream_HEX,Probability
3C0116,3D4418,0.00026041666666666666
3C0116,3D2614,0.00026041666666666666
3C0116,3D2521,0.00026041666666666666
3C0116,3D2B03,0.00026041666666666666
3C0116,3D9B07,0.00026041666666666666
3C0116,3D673A,0.00026041666666666666
3C0116,3D840E,0.00026041666666666666
3C0116,3D8410,0.00026041666666666666
3C0116,3D8504,0.00026041666666666666
3C0116,3D6C11,0.00026041666666666666
3C0116,3D241D,0.00026041666666666666
3C0116,3D5E0F,0.00026041666666666666
3C0116,3D2417,0.00026041666666666666
3C0116,3D251F,0.00026041666666666666
3C0116,3D5015,0.00013020833333333333
3C0116,3D7E0D,0.00013020833333333333
3C0116,3DA102,0.00013020833333333333
3C0116,3D303B,0.00013020833333333333
3C0116,3D8413,0.00013020833333333333
3C0116,3D0B22,0.00013020833333333333
3C0116,3D0C11,0.00013020833333333333
3C0116,3D2415,0.00013020833333333333
3C0116,3D0115,0.00013020833333333333
3C0116,3DA119,0.00013020833333333333
3C0116,3D3039,0.00013020833333333333
3C0116,3D0E35,0.00013020833333333333
3C0116,3C100D,0.00013020833333333333
3C0116,3D8509,0.00013020833333333333
3C0116,3D1A21,0.00013020833333333333
3C0116,3D673C,0.00013020833333333333
3C0116,3D9006,0.00013020833333333333
3C0116,3D491B,0.00013020833333333333
3C0116,3D3908,0.00013020833333333333
3C0116,3C0301,0.00013020833333333333
3C0116,3D6C0B,0.00013020833333333333
3C0116,3D0E36,0.00013020833333333333
3C0116,3D1F14,0.00013020833333333333
3C0116,3C4401,0.00013020833333333333
3C0116,3DA10F,0.00013020833333333333
3C0116,3D2215,0.00013020833333333333
3C0116,3D6C0F,0.00013020833333333333
3C0116,3D8808,0.00013020833333333333
3C0116,3D6809,0.00013020833333333333
3C0116,3D252B,0.00013020833333333333
3C0116,3D6726,0.00013020833333333333
3C0116,3D8507,0.00013020833333333333
3C0116,3D101E,0.00013020833333333333
3C0116,3D2E17,0.00013020833333333333
3C0116,3D0204,0.00013020833333333333
3C0116,3D5417,0.00013020833333333333
3C0116,3D4410,0.00013020833333333333
3C0116,3D920D,0.00013020833333333333
3C0116,3C0107,0.00013020833333333333
3C0118,3C0102,0.6366571018651362
3C0118,3D010E,0.30774748923959827
3C0118,3D0115,0.010401721664275465
3C0118,3D0113,0.006456241032998565
3C0118,3C0103,0.004662840746054519
3C0118,3D0204,0.0028694404591104736
3C0118,3D8418,0.002152080344332855
3C0118,3D0209,0.002152080344332855
3C0118,3D8413,0.001793400286944046
3C0118,3D0111,0.001793400286944046
3C0118,3D0205,0.0014347202295552368
3C0118,3D8A04,0.0010760401721664275
3C0118,3D7718,0.0010760401721664275
3C0118,3D030B,0.0010760401721664275
3C0118,3D251F,0.0010760401721664275
3C0118,3D1026,0.0010760401721664275
3C0118,3C770E,0.0007173601147776184
3C0118,3D4416,0.0007173601147776184
3C0118,3D0119,0.0007173601147776184
3C0118,3D2419,0.0007173601147776184
3C0118,3C7001,0.0007173601147776184
3C0118,3D1019,0.0007173601147776184
3C0118,3D6F06,0.0003586800573888092
3C0118,3C0E06,0.0003586800573888092
3C0118,3D2533,0.0003586800573888092
3C0118,3D0413,0.0003586800573888092
3C0118,3D8410,0.0003586800573888092
3C0118,3D8E0A,0.0003586800573888092
3C0118,3D2A01,0.0003586800573888092
3C0118,3D7716,0.0003586800573888092
3C0118,3D750B,0.0003586800573888092
3C0118,3D5E09,0.0003586800573888092
3C0118,3D6C0F,0.0003586800573888092
3C0118,3D8507,0.0003586800573888092
3C0118,3D071F,0.0003586800573888092
3C0118,3D6C0B,0.0003586800573888092
3C0118,3D673C,0.0003586800573888092
3C0118,3D2D09,0.0003586800573888092
3C0118,3D241D,0.0003586800573888092
3C0118,3D0419,0.0003586800573888092
3C0118,3C581B,0.0003586800573888092
3C0118,3D241B,0.0003586800573888092
3C0118,3D1020,0.0003586800573888092
3C0118,3D0E35,0.0003586800573888092
3C0118,3D840E,0.0003586800573888092
3C0118,3D0206,0.0003586800573888092
3C0118,3D2523,0.0003586800573888092
3C0118,3D2B03,0.0003586800573888092
3C0118,3C100F,0.0003586800573888092
3C0118,3D0E32,0.0003586800573888092
3C0118,3D7E0D,0.0003586800573888092
3C0118,3C0E04,0.0003586800573888092
3C0118,3D2521,0.0003586800573888092
3C0118,3C0104,0.0003586800573888092
3C0118,3C0105,0.0003586800573888092
3C0118,3D2610,0.0003586800573888092
3C011A,3C0101,0.553877139979859
3C011A,3D0204,0.3816717019133938
3C011A,3C0102,0.006377979187646861
3C011A,3D0209,0.005706612957368244
3C011A,3D0115,0.005370929842228936
3C011A,3D0205,0.004028197381671702
3C011A,3D6C0B,0.003356831151393085
3C011A,3D1019,0.0023497818059751594
3C011A,3D8418,0.002014098690835851
3C011A,3C0103,0.0016784155756965425
3C011A,3C7001,0.0016784155756965425
3C011A,3D2B03,0.001342732460557234
3C011A,3D0113,0.001342732460557234
3C011A,3D1024,0.001342732460557234
3C011A,3D010F,0.0010070493454179255
3C011A,3D1022,0.0010070493454179255
3C011A,3D0111,0.0010070493454179255
3C011A,3D030B,0.0010070493454179255
3C011A,3D840E,0.0010070493454179255
3C011A,3DA11B,0.000671366230278617
3C011A,3D071D,0.000671366230278617
3C011A,3D581C,0.000671366230278617
3C011A,3D9B07,0.000671366230278617
3C011A,3D6F0C,0.000671366230278617
3C011A,3D4416,0.000671366230278617
3C011A,3D2D09,0.000671366230278617
3C011A,3D1026,0.000671366230278617
3C011A,3D8A04,0.000671366230278617
3C011A,3D4418,0.000671366230278617
3C011A,3D0117,0.000671366230278617
3C011A,3D101E,0.000671366230278617
3C011A,3D2533,0.000671366230278617
3C011A,3D101D,0.000671366230278617
3C011A,3D030D,0.000671366230278617
3C011A,3C0104,0.0003356831151393085
3C011A,3D4410,0.0003356831151393085
3C011A,3D0419,0.0003356831151393085
3C011A,3D1020,0.0003356831151393085
3C011A,3D8413,0.0003356831151393085
3C011A,3D8503,0.0003356831151393085
3C011A,3D6C11,0.0003356831151393085
3C011A,3D850B,0.0003356831151393085
3C011A,3D441A,0.0003356831151393085
3C011A,3DA307,0.0003356831151393085
